"Termino","NombreCanonico","Capa","Documento","Archivo","Seccion","TipoEvidencia","TextoEvidencia","EstadoValidacion","Confianza","Notas"
"Lenguaje Oficial de MEF","Lenguaje Oficial de MEF","FND","FND-005","FND-05-LENGUAJE_OFICIAL_DE_MEF.md","Título documental","TITULO_DOCUMENTAL","Lenguaje Oficial de MEF","CANDIDATO","ALTA",""
"Manifiesto de Desarrollo","Manifiesto de Desarrollo","FND","FND-007","FND-07-MANIFIESTO_DE_INGENIERIA_DE_DESARROLLO.md","Título documental","TITULO_DOCUMENTAL","Manifiesto de Desarrollo","CANDIDATO","ALTA",""
"Misión","Misión","FND","FND-002","FND-02-MISION.md","Misión","ENCABEZADO_CONCEPTUAL","# Misión","CANDIDATO","MEDIA",""
"Misión","Misión","FND","FND-002","FND-02-MISION.md","Título documental","TITULO_DOCUMENTAL","Misión","CANDIDATO","ALTA",""
"Motivación","Motivación","FND","FND-000","FND-000-Carta_del_Proyecto.md","3. Motivación","ENCABEZADO_CONCEPTUAL","# 3. Motivación","CANDIDATO","MEDIA",""
"Nuestra misión","Nuestra misión","FND","FND-002","FND-02-MISION.md","3. Nuestra misión","ENCABEZADO_CONCEPTUAL","# 3. Nuestra misión","CANDIDATO","MEDIA",""
"Objetivos estratégicos","Objetivos estratégicos","FND","FND-001","FND-001-VISION.md","6. Objetivos estratégicos","ENCABEZADO_CONCEPTUAL","# 6. Objetivos estratégicos","CANDIDATO","MEDIA",""
"Principios de actuación","Principios de actuación","FND","FND-002","FND-02-MISION.md","6. Principios de actuación","ENCABEZADO_CONCEPTUAL","# 6. Principios de actuación","CANDIDATO","MEDIA",""
"Principios de Arquitectura","Principios de Arquitectura","FND","FND-004","FND-04-PRINCIPIOS_DE_ARQUITECTURA.md","Título documental","TITULO_DOCUMENTAL","Principios de Arquitectura","CANDIDATO","ALTA",""
"Principios de evolución","Principios de evolución","FND","FND-001","FND-001-VISION.md","5. Principios de evolución","ENCABEZADO_CONCEPTUAL","# 5. Principios de evolución","CANDIDATO","MEDIA",""
"Principios fundamentales","Principios fundamentales","FND","FND-000","FND-000-Carta_del_Proyecto.md","6. Principios fundamentales","ENCABEZADO_CONCEPTUAL","# 6. Principios fundamentales","CANDIDATO","MEDIA",""
"Relación con la Visión","Relación con la Visión","FND","FND-002","FND-02-MISION.md","9. Relación con la Visión","ENCABEZADO_CONCEPTUAL","# 9. Relación con la Visión","CANDIDATO","MEDIA",""
"Valores","Valores","FND","FND-003","FND-03-VALORES.md","Título documental","TITULO_DOCUMENTAL","Valores","CANDIDATO","ALTA",""
"Visión","Visión","FND","FND-001","FND-001-VISION.md","Visión","ENCABEZADO_CONCEPTUAL","# Visión","CANDIDATO","MEDIA",""
"Visión","Visión","FND","FND-001","FND-001-VISION.md","Título documental","TITULO_DOCUMENTAL","Visión","CANDIDATO","ALTA",""
