clave_conceptual,termino_preferido_provisional,variante,tipo_relacion,canonizada_como_alias
recovery drill,Recovery Drill,recovery:drill,VARIANTE_LEXICA_PROVISIONAL,NO
recovery plan,Recovery Plan,recovery:plan,VARIANTE_LEXICA_PROVISIONAL,NO
recovery point,Recovery Point,recovery:points,VARIANTE_LEXICA_PROVISIONAL,NO
recovery requirement,Recovery Requirement,recovery:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
recovery strategy,Recovery Strategy,Recovery Strategies,VARIANTE_LEXICA_PROVISIONAL,NO
registry graph,registry graph,Registry Graph,VARIANTE_LEXICA_PROVISIONAL,NO
rejected,Rejected,REJECTED,VARIANTE_LEXICA_PROVISIONAL,NO
relacion con otro component,Relación con otros componentes,Relación con otros Componentes,VARIANTE_LEXICA_PROVISIONAL,NO
release gate,Release Gate,Release Gates,VARIANTE_LEXICA_PROVISIONAL,NO
reliability baseline,Reliability Baseline,reliability:baseline,VARIANTE_LEXICA_PROVISIONAL,NO
reliability requirement,Reliability Requirement,reliability:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
replica,Replica,Replicas,VARIANTE_LEXICA_PROVISIONAL,NO
repository,Repository,Repositories,VARIANTE_LEXICA_PROVISIONAL,NO
resolution cache,Resolution Cache,resolution:cache,VARIANTE_LEXICA_PROVISIONAL,NO
resolution input,Resolution Inputs,Resolution Input,VARIANTE_LEXICA_PROVISIONAL,NO
resolution policy,Resolution Policy,Resolution ≠ Policy,VARIANTE_LEXICA_PROVISIONAL,NO
resolution strategy,Resolution Strategy,resolution:strategies,VARIANTE_LEXICA_PROVISIONAL,NO
resolver,Resolvers,Resolver,VARIANTE_LEXICA_PROVISIONAL,NO
resourc,/Resources,/resources,VARIANTE_LEXICA_PROVISIONAL,NO
resource budget,Resource Budget,Resource Budgets,VARIANTE_LEXICA_PROVISIONAL,NO
resource lease,Resource Lease,resource:leases,VARIANTE_LEXICA_PROVISIONAL,NO
resource limit,Resource Limits,Resource Limit,VARIANTE_LEXICA_PROVISIONAL,NO
resource pool,Resource Pool,resource:pool,VARIANTE_LEXICA_PROVISIONAL,NO
resource pressure,Resource Pressure,resource:pressure,VARIANTE_LEXICA_PROVISIONAL,NO
resource quota,Resource Quota,resource:quota,VARIANTE_LEXICA_PROVISIONAL,NO
resource usage,Resource Usage,resource:usage,VARIANTE_LEXICA_PROVISIONAL,NO
result,Result,result,VARIANTE_LEXICA_PROVISIONAL,NO
revoked,Revoked,REVOKED,VARIANTE_LEXICA_PROVISIONAL,NO
riesgo arquitectonico,Riesgos Arquitectónicos,Riesgos arquitectónicos,VARIANTE_LEXICA_PROVISIONAL,NO
role,Role,Roles,VARIANTE_LEXICA_PROVISIONAL,NO
running,Running,RUNNING,VARIANTE_LEXICA_PROVISIONAL,NO
runtime diagnostic,Runtime Diagnostics,runtime diagnostics,VARIANTE_LEXICA_PROVISIONAL,NO
runtime health,Runtime Health,runtime health,VARIANTE_LEXICA_PROVISIONAL,NO
savepoint,Savepoint,Savepoints,VARIANTE_LEXICA_PROVISIONAL,NO
scalability curve,scalability:curve,Scalability Curve,VARIANTE_LEXICA_PROVISIONAL,NO
scalability limit,Scalability Limit,scalability:limit,VARIANTE_LEXICA_PROVISIONAL,NO
scalability requirement,Scalability Requirement,scalability:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
scalability test,Scalability Test,scalability:test,VARIANTE_LEXICA_PROVISIONAL,NO
scalable,SCALABLE,scalable,VARIANTE_LEXICA_PROVISIONAL,NO
schema,Schema,schema,VARIANTE_LEXICA_PROVISIONAL,NO
schema compatibility,Schema Compatibility,schema compatibility,VARIANTE_LEXICA_PROVISIONAL,NO
schema compatibility,Schema Compatibility,schema:compatibility,VARIANTE_LEXICA_PROVISIONAL,NO
schema diff,Schema Diff,schema:diff,VARIANTE_LEXICA_PROVISIONAL,NO
schema list,schema list,schema:list,VARIANTE_LEXICA_PROVISIONAL,NO
schema validate,schema validate,schema:validate,VARIANTE_LEXICA_PROVISIONAL,NO
schema version,Schema Version,schema:versions,VARIANTE_LEXICA_PROVISIONAL,NO
scope test,Scope Test,Scope Tests,VARIANTE_LEXICA_PROVISIONAL,NO
security,Security,SECURITY,VARIANTE_LEXICA_PROVISIONAL,NO
security boundary,Security Boundary,Security Boundaries,VARIANTE_LEXICA_PROVISIONAL,NO
security capability,security capabilities,Security Capability,VARIANTE_LEXICA_PROVISIONAL,NO
security test,Security Test,Security Tests,VARIANTE_LEXICA_PROVISIONAL,NO
serialization test,Serialization Test,Serialization Tests,VARIANTE_LEXICA_PROVISIONAL,NO
serializer,Serializer,Serializers,VARIANTE_LEXICA_PROVISIONAL,NO
severity,Severity,severity,VARIANTE_LEXICA_PROVISIONAL,NO
singleton,Singleton,SINGLETON,VARIANTE_LEXICA_PROVISIONAL,NO
slug,Slug,Slugs,VARIANTE_LEXICA_PROVISIONAL,NO
slug,Slug,slug,VARIANTE_LEXICA_PROVISIONAL,NO
snapshot,Snapshot,snapshot,VARIANTE_LEXICA_PROVISIONAL,NO
snapshot test,Snapshot Test,Snapshot Tests,VARIANTE_LEXICA_PROVISIONAL,NO
src,/src,src/,VARIANTE_LEXICA_PROVISIONAL,NO
src core,/src/Core,src/Core,VARIANTE_LEXICA_PROVISIONAL,NO
src core,/src/Core,src/Core/,VARIANTE_LEXICA_PROVISIONAL,NO
stable,Stable,stable,VARIANTE_LEXICA_PROVISIONAL,NO
stable error code,Stable Error Code,Stable Error Codes,VARIANTE_LEXICA_PROVISIONAL,NO
state,State,state,VARIANTE_LEXICA_PROVISIONAL,NO
state event,State Events,State ≠ Event,VARIANTE_LEXICA_PROVISIONAL,NO
state health,State Health,State = Health,VARIANTE_LEXICA_PROVISIONAL,NO
state persistence,State Persistence,State ≠ Persistence,VARIANTE_LEXICA_PROVISIONAL,NO
state snapshot,State Snapshot,state:snapshot,VARIANTE_LEXICA_PROVISIONAL,NO
status,Status,status,VARIANTE_LEXICA_PROVISIONAL,NO
stopped,Stopped,STOPPED,VARIANTE_LEXICA_PROVISIONAL,NO
stopping,Stopping,STOPPING,VARIANTE_LEXICA_PROVISIONAL,NO
subscriber,Subscriber,Subscribers,VARIANTE_LEXICA_PROVISIONAL,NO
support,SUPPORTS,Support,VARIANTE_LEXICA_PROVISIONAL,NO
support,SUPPORTS,Support/,VARIANTE_LEXICA_PROVISIONAL,NO
test,Test,/Tests,VARIANTE_LEXICA_PROVISIONAL,NO
test,Test,/tests,VARIANTE_LEXICA_PROVISIONAL,NO
timeout,Timeout,Timeouts,VARIANTE_LEXICA_PROVISIONAL,NO
token,Token,Tokens,VARIANTE_LEXICA_PROVISIONAL,NO
trace,Trace,TRACE,VARIANTE_LEXICA_PROVISIONAL,NO
transaction,Transaction,transaction,VARIANTE_LEXICA_PROVISIONAL,NO
transitive dependency,Transitive Dependency,Transitive Dependencies,VARIANTE_LEXICA_PROVISIONAL,NO
trust attestation,Trust Attestation,trust:attestations,VARIANTE_LEXICA_PROVISIONAL,NO
trust claim,Trust Claim,trust:claims,VARIANTE_LEXICA_PROVISIONAL,NO
trust evidence,Trust Evidence,trust:evidence,VARIANTE_LEXICA_PROVISIONAL,NO
trust gate,Trust Gate,trust:gates,VARIANTE_LEXICA_PROVISIONAL,NO
trust level,Trust Levels,Trust Level,VARIANTE_LEXICA_PROVISIONAL,NO
trust object,Trust Object,trust:objects,VARIANTE_LEXICA_PROVISIONAL,NO
trust requirement,Trust Requirement,trust:requirements,VARIANTE_LEXICA_PROVISIONAL,NO
unbounded buffer,Unbounded Buffer,Unbounded Buffers,VARIANTE_LEXICA_PROVISIONAL,NO
unhealthy,UNHEALTHY,Unhealthy,VARIANTE_LEXICA_PROVISIONAL,NO
unit test,Unit Tests,Unit Test,VARIANTE_LEXICA_PROVISIONAL,NO
unknown,UNKNOWN,Unknown,VARIANTE_LEXICA_PROVISIONAL,NO
unknown field,Unknown Fields,Unknown Field,VARIANTE_LEXICA_PROVISIONAL,NO
unsafe default,Unsafe Default,Unsafe Defaults,VARIANTE_LEXICA_PROVISIONAL,NO
upgrade abort,Upgrade Abort,upgrade:abort,VARIANTE_LEXICA_PROVISIONAL,NO
upgrade pause,Upgrade Pause,upgrade:pause,VARIANTE_LEXICA_PROVISIONAL,NO
upgrade plan,Upgrade Plan,upgrade:plan,VARIANTE_LEXICA_PROVISIONAL,NO
upgrade resume,Upgrade Resume,upgrade:resume,VARIANTE_LEXICA_PROVISIONAL,NO
upgrade rollback,Upgrade Rollback,upgrade:rollback,VARIANTE_LEXICA_PROVISIONAL,NO
validate,Validate,validate,VARIANTE_LEXICA_PROVISIONAL,NO
validation error,Validation Error,Validation Errors,VARIANTE_LEXICA_PROVISIONAL,NO
validation layer,Validation Layers,Validation Layer,VARIANTE_LEXICA_PROVISIONAL,NO
validator,Validator,Validators,VARIANTE_LEXICA_PROVISIONAL,NO
value object,Value Objects,Value Object,VARIANTE_LEXICA_PROVISIONAL,NO
vendor lock-in,Vendor Lock-in,Vendor Lock-In,VARIANTE_LEXICA_PROVISIONAL,NO
verified,Verified,VERIFIED,VARIANTE_LEXICA_PROVISIONAL,NO
warning,Warning,WARNING,VARIANTE_LEXICA_PROVISIONAL,NO
warning,Warning,Warnings,VARIANTE_LEXICA_PROVISIONAL,NO
why,Why,why,VARIANTE_LEXICA_PROVISIONAL,NO
workflow history,Workflow History,workflow:history,VARIANTE_LEXICA_PROVISIONAL,NO
workflow resume,Workflow Resume,workflow:resume,VARIANTE_LEXICA_PROVISIONAL,NO
workflow retry,Workflow Retry,workflow:retry,VARIANTE_LEXICA_PROVISIONAL,NO
workflow signal,Workflow Signal,workflow:signal,VARIANTE_LEXICA_PROVISIONAL,NO
workflow state machine,Workflow State Machine,Workflow ≠ State Machine,VARIANTE_LEXICA_PROVISIONAL,NO
workflow transaction,Workflow Transaction,Workflow ≠ Transaction,VARIANTE_LEXICA_PROVISIONAL,NO
