clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
freshness requirement,Freshness Requirement,Freshness Requirement,1,1,ENG,1,ENG-085,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
freshness source,Freshness Source,Freshness Source,1,1,ENG,1,ENG-080,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
freshness test,Freshness Test,Freshness Test,1,2,ENG,2,ENG-080;ENG-085,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
freshness trust,Freshness Trust,Freshness Trust,1,1,ENG,1,ENG-085,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
freshness window,Freshness Window,Freshness Window,1,1,ENG,1,ENG-080,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
frontera completa eng-079 eng-085,Frontera completa ENG-079 → ENG-085,Frontera completa ENG-079 → ENG-085,1,1,ENG,1,ENG-085,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
frontera conceptual,Fronteras conceptuales,Fronteras conceptuales,1,3,ENG,3,ENG-086;ENG-087;ENG-089,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
frontera de autoridad,Frontera de Autoridad,Frontera de Autoridad,1,1,ENG,1,ENG-100,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
frontera del module,Frontera del Module,Frontera del Module,1,1,ENG,1,ENG-002,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
frozen,Frozen,Frozen,1,1,ENG,1,ENG-020,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
frozen container,Frozen Container,Frozen Container,1,1,ENG,1,ENG-019,ENCABEZADO,0,BAJA_SEÑAL,NO,NO_ASIGNADO
