clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
accuracy,Accuracy,Accuracy,1,3,ENG,2,ENG-079;ENG-080,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
acknowledgement,Acknowledgement,Acknowledgement,1,5,ENG,4,ENG-032;ENG-041;ENG-077;ENG-087,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
acoplamiento oculto,Acoplamiento oculto,Acoplamiento oculto,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
action,Action,Action,1,4,ENG,2,ENG-015;ENG-046,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
activation,Activation,Activation,1,4,ENG,3,ENG-027;ENG-028;ENG-055,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
activation failure,Activation Failure,Activation Failure,1,5,ENG,3,ENG-027;ENG-028;ENG-029,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
activation precondition,Activation Preconditions,Activation Preconditions,1,3,ENG,3,ENG-028;ENG-047;ENG-060,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
active,Active,ACTIVE; Active,2,15,ENG,9,ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-027;ENG-028;ENG-047;ENG-049,CODIGO_INLINE;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
activo empaquetabl,Activos Empaquetables,Activos Empaquetables,1,1,ARQ,1,ARQ-017,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
actor,Actor,Actor,1,4,ENG,2,ENG-035;ENG-046,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
administrative permission,Administrative Permissions,Administrative Permission; Administrative Permissions,2,4,ENG,4,ENG-046;ENG-047;ENG-049;ENG-051,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
admission control,Admission Control,Admission Control,1,5,ENG,4,ENG-026;ENG-039;ENG-071;ENG-073,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
advice,Advice,Advice,1,3,ENG,2,ENG-046;ENG-051,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
aggregate,Aggregate,Aggregate,1,4,ENG,3,ENG-022;ENG-029;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
aggregation,Aggregation,Aggregation,1,3,ENG,3,ENG-041;ENG-081;ENG-082,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
ai-011,AI-011,AI-011,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-012,AI-012,AI-012,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-013,AI-013,AI-013,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-014,AI-014,AI-014,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-015,AI-015,AI-015,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-016,AI-016,AI-016,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-017,AI-017,AI-017,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-018,AI-018,AI-018,1,1,ARQ,1,ARQ-004,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-055,AI-055,AI-055,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-056,AI-056,AI-056,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-057,AI-057,AI-057,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-058,AI-058,AI-058,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-058 la generacion,AI-058 La generación,AI-058 La generación,1,1,ARQ,1,ARQ-010,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-059,AI-059,AI-059,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-059 las plantilla,AI-059 Las plantillas,AI-059 Las plantillas,1,1,ARQ,1,ARQ-010,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-060,AI-060,AI-060,1,1,ARQ,1,ARQ-010,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-061,AI-061,AI-061,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-062,AI-062,AI-062,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-063,AI-063,AI-063,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-064,AI-064,AI-064,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-064 los contract,AI-064 Los Contracts,AI-064 Los Contracts,1,1,ARQ,1,ARQ-011,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-065,AI-065,AI-065,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-066,AI-066,AI-066,1,1,ARQ,1,ARQ-011,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-066 los contract,AI-066 Los Contracts,AI-066 Los Contracts,1,1,ARQ,1,ARQ-011,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-067,AI-067,AI-067,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-068,AI-068,AI-068,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-069,AI-069,AI-069,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-070,AI-070,AI-070,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-071,AI-071,AI-071,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-072,AI-072,AI-072,1,1,ARQ,1,ARQ-012,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-072 constructor injection,AI-072 Constructor Injection,AI-072 Constructor Injection,1,1,ARQ,1,ARQ-012,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-073,AI-073,AI-073,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-074,AI-074,AI-074,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-075,AI-075,AI-075,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-075 toda politica,AI-075 Toda política,AI-075 Toda política,1,1,ARQ,1,ARQ-013,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-076,AI-076,AI-076,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-076 la configuracion,AI-076 La configuración,AI-076 La configuración,1,1,ARQ,1,ARQ-013,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-077,AI-077,AI-077,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-078,AI-078,AI-078,1,1,ARQ,1,ARQ-013,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-097,AI-097,AI-097,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-098,AI-098,AI-098,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-099,AI-099,AI-099,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-100,AI-100,AI-100,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-101,AI-101,AI-101,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-102,AI-102,AI-102,1,1,ARQ,1,ARQ-017,TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
ai-102 todo package,AI-102 Todo Package,AI-102 Todo Package,1,1,ARQ,1,ARQ-017,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
alcance del producto,Alcance del producto,Alcance del producto,1,1,FND,1,FND-000,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
alerting,Alerting,Alerting,1,4,ENG,4,ENG-023;ENG-024;ENG-025;ENG-041,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
allow,ALLOW,ALLOW; Allow,2,3,ENG,3,ENG-040;ENG-046;ENG-051,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
anatomia conceptual,Anatomía conceptual,Anatomía conceptual,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
annotation,Annotation,Annotation,1,2,ENG,1,ENG-057,DEFINICION_EXPLICITA,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
api compatibility,API Compatibility,API Compatibility,1,3,ENG,3,ENG-016;ENG-044;ENG-066,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
api engineering,API Engineering,API Engineering,1,4,ENG,3,ENG-043;ENG-044;ENG-061,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
api integration,API Integration,API Integration,1,13,ENG,13,ENG-015;ENG-034;ENG-035;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-054;ENG-055,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
api key,API Key,API Key,1,3,ENG,2,ENG-044;ENG-045,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
api key in url,API Key in URL,API Key in URL,1,3,ENG,2,ENG-044;ENG-045,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
api publica,API pública,API Pública; API pública,2,5,ARQ;ENG,3,ARQ-004;ENG-001;ENG-002,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
api publica accidental,API pública accidental,API pública accidental,1,1,ARQ,1,ARQ-004,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
api validation,API Validation,API Validation,1,3,ENG,3,ENG-035;ENG-036;ENG-044,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
application,Application,/Application; Application,2,5,ENG,4,ENG-006;ENG-039;ENG-040;ENG-041,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
application health,Application Health,Application Health,1,2,ENG,1,ENG-069,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
application integration,Application Integration,Application Integration,1,10,ENG,10,ENG-035;ENG-042;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
application layer,Application Layer,Application Layer,1,3,ENG,1,ENG-034,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
application lifecycle,Application Lifecycle,Application Lifecycle,1,3,ENG,3,ENG-015;ENG-034;ENG-055,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
application precondition,Application Precondition,Application Precondition,1,3,ENG,2,ENG-034;ENG-036,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
approval,Approval,Approval,1,3,ENG,3,ENG-017;ENG-021;ENG-047,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
approved,Approved,APPROVED; Approved,2,4,ENG,2,ENG-017;ENG-084,CODIGO_INLINE;ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
architectural fitness function,Architectural Fitness Functions,Architectural Fitness Functions,1,4,ENG,2,ENG-001;ENG-009,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
architectural state machine,Architectural State Machine,Architectural State Machine,1,3,ENG,2,ENG-015;ENG-052,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
architecture graph,architecture graph,Architecture Graph; architecture graph,2,3,ENG,2,ENG-007;ENG-020,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
architecture test,Architecture Test,Architecture Test; Architecture Tests,2,64,ENG,64,ENG-002;ENG-009;ENG-015;ENG-018;ENG-019;ENG-035;ENG-036;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
area de actuacion,Áreas de actuación,Áreas de actuación,1,1,FND,1,FND-002,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arq-004,ARQ-004,ARQ-004,1,3,ARQ;ENG,2,ARQ-004;ENG-002,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arq-010,ARQ-010,ARQ-010,1,1,ARQ,1,ARQ-010,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arq-011,ARQ-011,ARQ-011,1,2,ARQ;ENG,2,ARQ-011;ENG-016,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arq-012,ARQ-012,ARQ-012,1,1,ARQ,1,ARQ-012,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arq-013,ARQ-013,ARQ-013,1,2,ARQ;ENG,2,ARQ-013;ENG-011,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arq-017,ARQ-017,ARQ-017,1,2,ARQ;ENG,2,ARQ-017;ENG-002,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arquitectura del framework,arquitectura del Framework,arquitectura del Framework,1,1,FND,1,FND-000,DEFINICION_EXPLICITA,1,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
arquitectura recomendada,Arquitectura Recomendada,Arquitectura Recomendada,1,11,ENG,11,ENG-010;ENG-011;ENG-013;ENG-014;ENG-015;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
artefacto generabl,Artefactos Generables,Artefactos Generables,1,1,ARQ,1,ARQ-010,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
artifact identity,Artifact Identity,Artifact Identity,1,3,ENG,3,ENG-012;ENG-066;ENG-067,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
artifact promotion,Artifact Promotion,Artifact Promotion,1,4,ENG,4,ENG-014;ENG-017;ENG-067;ENG-068,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
aspiracion,Aspiración,Aspiración,1,1,FND,1,FND-001,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
at-least-once,At-Least-Once,At-Least-Once,1,5,ENG,5,ENG-022;ENG-032;ENG-040;ENG-041;ENG-064,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
at-most-once,At-Most-Once,At-Most-Once,1,5,ENG,5,ENG-022;ENG-032;ENG-040;ENG-041;ENG-064,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
atomicity,Atomicity,Atomicity,1,4,ENG,4,ENG-030;ENG-038;ENG-041;ENG-042,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
audit,Audit,Audit,1,15,ENG,15,ENG-011;ENG-013;ENG-015;ENG-017;ENG-020;ENG-021;ENG-024;ENG-030;ENG-034;ENG-045;ENG-047;ENG-048;ENG-049;ENG-069;ENG-083,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
audit event,Audit Events,Audit Event; Audit Events; Audit ≠ Event,3,23,ENG,23,ENG-024;ENG-034;ENG-056;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-083;ENG-084;ENG-085,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
audit record,Audit Record,Audit Record,1,20,ENG,20,ENG-024;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-057;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-076,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authentication,Authentication,Authentication,1,8,ENG,7,ENG-024;ENG-032;ENG-041;ENG-044;ENG-045;ENG-061;ENG-082,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authentication authorization,Authentication ≠ Authorization,Authentication = Authorization; Authentication ≠ Authorization,2,4,ENG,3,ENG-024;ENG-032;ENG-045,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authentication engineering,Authentication Engineering,Authentication Engineering,1,3,ENG,2,ENG-044;ENG-045,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authentication integration,Authentication Integration,Authentication Integration,1,9,ENG,9,ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authenticity,Authenticity,Authenticity,1,3,ENG,2,ENG-024;ENG-093,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
authority scope,Authority Scope,Authority Scope,1,3,ENG,3,ENG-079;ENG-081;ENG-085,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authorization,Authorization,Authorization,1,15,ENG,14,ENG-015;ENG-024;ENG-031;ENG-034;ENG-041;ENG-042;ENG-044;ENG-046;ENG-061;ENG-082;ENG-088;ENG-091;ENG-092;ENG-093,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authorization engineering,Authorization Engineering,Authorization Engineering,1,3,ENG,2,ENG-045;ENG-046,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authorization error,Authorization Error,Authorization Error,1,3,ENG,3,ENG-039;ENG-044;ENG-046,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authorization failure,Authorization Failure,Authorization Failure,1,3,ENG,3,ENG-024;ENG-039;ENG-040,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authorization integration,Authorization Integration,Authorization Integration,1,8,ENG,8,ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
authorization test,Authorization Test,Authorization Test; Authorization Tests,2,4,ENG,4,ENG-024;ENG-034;ENG-044;ENG-049,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
automatic rollback,Automatic Rollback,Automatic Rollback,1,4,ENG,4,ENG-013;ENG-042;ENG-049;ENG-050,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
availability,Availability,Availability,1,8,ENG,4,ENG-024;ENG-073;ENG-088;ENG-093,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,4,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
availability engineering,Availability Engineering,Availability Engineering,1,3,ENG,1,ENG-073,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
background work,Background Work,Background Work,1,3,ENG,1,ENG-040,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
backoff,Backoff,Backoff,1,6,ENG,5,ENG-022;ENG-030;ENG-032;ENG-038;ENG-039,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
backpressure,Backpressure,Backpressure,1,15,ENG,14,ENG-022;ENG-024;ENG-025;ENG-026;ENG-032;ENG-038;ENG-039;ENG-040;ENG-041;ENG-044;ENG-061;ENG-064;ENG-070;ENG-071,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
backpressure test,Backpressure Test,Backpressure Test,1,3,ENG,3,ENG-032;ENG-054;ENG-064,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
backup,Backup,Backup; Backups,2,5,ENG,4,ENG-030;ENG-076;ENG-081;ENG-092,DEFINICION_EXPLICITA;ENCABEZADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
backward compatibility,Backward Compatibility,Backward Compatibility,1,9,ENG,9,ENG-007;ENG-011;ENG-014;ENG-016;ENG-020;ENG-031;ENG-052;ENG-057;ENG-062,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
baggage,Baggage,Baggage,1,2,ENG,1,ENG-056,DEFINICION_EXPLICITA;TABLA_COLUMNA_PRINCIPAL,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
baseline condition,Baseline Conditions,Baseline Conditions,1,3,ENG,3,ENG-070;ENG-071;ENG-074,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
batch size,Batch Size,Batch Size,1,4,ENG,4,ENG-041;ENG-064;ENG-066;ENG-070,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
behavioral compatibility,Behavioral Compatibility,Behavioral Compatibility,1,3,ENG,3,ENG-014;ENG-016;ENG-021,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
benchmark,Benchmark,Benchmark,1,4,ENG,3,ENG-026;ENG-038;ENG-070,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
beneficiario,Beneficiarios,Beneficiarios,1,1,FND,1,FND-002,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
binding,Binding,Binding,1,3,ENG,2,ENG-018;ENG-019,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
