clave_conceptual,termino_preferido_provisional,variantes,numero_variantes,apariciones,capas,fuentes_distintas,fuentes,tipos_evidencia,definiciones_explicitas,estado_10_3,canonizado,mef_dic_id
diagnostic,Diagnostics,Diagnostics,1,17,ENG,15,ENG-013;ENG-014;ENG-018;ENG-020;ENG-022;ENG-025;ENG-063;ENG-069;ENG-074;ENG-077;ENG-089;ENG-091;ENG-092;ENG-093;ENG-094,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
direccion de dependencia,Dirección de dependencias,Dirección de Dependencias; Dirección de dependencias,2,2,ARQ;ENG,2,ARQ-004;ENG-001,ENCABEZADO,0,CANDIDATO_CON_AUTORIDAD,NO,NO_ASIGNADO
dirty read,Dirty Read,Dirty Read,1,3,ENG,3,ENG-038;ENG-042;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
discovery,Discovery,Discovery,1,7,ENG,4,ENG-020;ENG-028;ENG-029;ENG-058,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,2,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
discovery determinism,Discovery Determinism,Discovery Determinism,1,3,ENG,3,ENG-020;ENG-057;ENG-058,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
discovery engineering,Discovery Engineering,Discovery Engineering,1,4,ENG,2,ENG-057;ENG-058,ENCABEZADO;TERMINO_DESTACADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
discovery sourc,Discovery Sources,Discovery Sources; discovery:sources,2,6,ENG,6,ENG-029;ENG-057;ENG-058;ENG-060;ENG-062;ENG-063,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
discovery source,Discovery Source,Discovery Source,1,3,ENG,2,ENG-058;ENG-091,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
discovery target,Discovery Target,Discovery Target,1,3,ENG,2,ENG-058;ENG-091,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
dispatch,Dispatch,Dispatch,1,2,ENG,1,ENG-022,DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
disposal idempotency,Disposal Idempotency,Disposal Idempotency,1,3,ENG,3,ENG-053;ENG-055;ENG-092,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
distributed lock,Distributed Lock,Distributed Lock,1,4,ENG,4,ENG-026;ENG-037;ENG-038;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
distributed transaction,Distributed Transaction,Distributed Transaction,1,5,ENG,5,ENG-022;ENG-030;ENG-041;ENG-042;ENG-078,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
distribution integrity,Distribution Integrity,Distribution Integrity,1,3,ENG,3,ENG-049;ENG-051;ENG-067,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
dlq test,DLQ Test,DLQ Test,1,3,ENG,3,ENG-022;ENG-040;ENG-041,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
documentation,Documentation,DOCUMENTATION; Documentation,2,5,ENG,5,ENG-003;ENG-014;ENG-037;ENG-039;ENG-044,ENCABEZADO;TABLA_COLUMNA_PRINCIPAL,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
documentation generation,Documentation Generation,Documentation Generation,1,5,ENG,5,ENG-007;ENG-008;ENG-011;ENG-015;ENG-057,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
domain,Domain,/Domain; Domain,2,9,ENG,5,ENG-006;ENG-035;ENG-039;ENG-040;ENG-041,CODIGO_INLINE;DEFINICION_EXPLICITA;ENCABEZADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
domain boundary,Domain Boundary,Domain Boundary,1,3,ENG,3,ENG-035;ENG-051;ENG-081,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
domain engineering,Domain Engineering,Domain Engineering,1,3,ENG,2,ENG-035;ENG-079,DEFINICION_EXPLICITA;ENCABEZADO;TERMINO_DESTACADO,1,CANDIDATO_ENG_DEFINIDO,NO,NO_ASIGNADO
domain error,Domain Error,Domain Error; Domain Errors,2,5,ENG,3,ENG-023;ENG-034;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
domain event,Domain Event,Domain Event,1,5,ENG,3,ENG-022;ENG-030;ENG-035,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
domain integration,Domain Integration,Domain Integration,1,8,ENG,8,ENG-042;ENG-046;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053,ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
domain invariant,Domain Invariant,Domain Invariant,1,3,ENG,3,ENG-034;ENG-035;ENG-039,CODIGO_INLINE;ENCABEZADO,0,CANDIDATO_ENG_REPETIDO,NO,NO_ASIGNADO
