mef_v3_id,termino_canonico,forma_observada,apariciones,capas,fuentes,numero_fuentes,decision_11_3,estado_11_3,justificacion,modificar_diccionario,modificar_fuentes
MEF-V3-DIC-0069,Componentes,Component,134,ENG,ENG-001;ENG-005;ENG-009;ENG-010;ENG-011;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-020;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-034;ENG-035;ENG-039;ENG-042;ENG-053;ENG-055;ENG-056;ENG-057;ENG-058;ENG-065;ENG-068;ENG-069;ENG-072;ENG-073;ENG-074;ENG-075;ENG-083,33,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
MEF-V3-DIC-0071,Configuration,/Configuration,1351,ARQ;ENG,ARQ-004;ARQ-010;ARQ-012;ARQ-013;ARQ-017;ENG-000;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-080;ENG-082;ENG-083;ENG-084;ENG-085;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099,92,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
MEF-V3-DIC-0075,Contracts,/Contracts,863,ARQ;ENG,ARQ-004;ARQ-010;ARQ-011;ARQ-012;ARQ-013;ARQ-017;ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099;ENG-100,106,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
MEF-V3-DIC-0075,Contracts,Contract,1910,ARQ;ENG,ARQ-011;ARQ-012;ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-012;ENG-013;ENG-014;ENG-015;ENG-016;ENG-017;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-064;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-070;ENG-071;ENG-072;ENG-073;ENG-074;ENG-075;ENG-076;ENG-077;ENG-078;ENG-079;ENG-080;ENG-081;ENG-082;ENG-083;ENG-084;ENG-085;ENG-086;ENG-087;ENG-088;ENG-089;ENG-090;ENG-091;ENG-092;ENG-093;ENG-094;ENG-095;ENG-096;ENG-097;ENG-098;ENG-099;ENG-100,103,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
MEF-V3-DIC-0088,Dependencias circulares,dependencia circular,4,ENG,ENG-001;ENG-004;ENG-011;ENG-051,4,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
MEF-V3-DIC-0124,Modules,/modules,473,ARQ;ENG;FND,ARQ-004;ARQ-010;ARQ-011;ARQ-013;ARQ-015;ARQ-017;ENG-000;ENG-001;ENG-002;ENG-003;ENG-004;ENG-005;ENG-006;ENG-007;ENG-008;ENG-009;ENG-010;ENG-011;ENG-013;ENG-014;ENG-015;ENG-016;ENG-018;ENG-019;ENG-020;ENG-021;ENG-022;ENG-023;ENG-024;ENG-025;ENG-026;ENG-027;ENG-028;ENG-029;ENG-030;ENG-031;ENG-032;ENG-033;ENG-034;ENG-035;ENG-036;ENG-037;ENG-038;ENG-039;ENG-040;ENG-041;ENG-042;ENG-043;ENG-044;ENG-045;ENG-046;ENG-047;ENG-048;ENG-049;ENG-050;ENG-051;ENG-052;ENG-053;ENG-054;ENG-055;ENG-056;ENG-057;ENG-058;ENG-059;ENG-060;ENG-061;ENG-062;ENG-063;ENG-065;ENG-066;ENG-067;ENG-068;ENG-069;ENG-074;ENG-075;FND-001,76,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
MEF-V3-DIC-0161,Compromisos,Compromiso,9,ENG;FND,ENG-045;ENG-075;ENG-076;ENG-081;ENG-084;FND-001;FND-002,7,ALIAS_CONTROLADO,RESUELTO,Alias provisional asociado a un único concepto V3 y con uso documental comprobado en 11.2.,NO,NO
